variable,classification,first_event_available,allowed_models,forbidden_models,notes
aborted_play,INTERMEDIATE,,,,simulated mid-play; not an upstream predictor; js_type=number
air_epa,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
air_wpa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=null|number
air_yards,TARGET,,,,TARGET in its own model; INTERMEDIATE downstream (§19); js_type=null|number
assist_tackle,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
assist_tackle_1_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
assist_tackle_1_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
assist_tackle_1_team,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=null|string
assist_tackle_2_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
assist_tackle_2_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
assist_tackle_2_team,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=null|string
assist_tackle_3_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
assist_tackle_3_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
assist_tackle_3_team,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=null|string
assist_tackle_4_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
assist_tackle_4_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
assist_tackle_4_team,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=null|string
away_coach,STATE,,ALL (pre-snap),,spec §5/§17; js_type=string
away_score,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=number
away_team,STATE,,ALL (pre-snap),,spec §5/§17; js_type=string
away_timeouts_remaining,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,team identity — grouping only (§16); js_type=number
away_wp,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=number
away_wp_post,LEAKAGE_DO_NOT_USE,,,ALL,post-play state (§10); js_type=null|number
blocked_player_id,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
blocked_player_name,IDENTIFIER_GROUPING,,grouping/shrinkage + stat-credit,,"grouping / stat-credit only, not a portable feature (§11); js_type=null|string"
comp_air_epa,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
comp_air_wpa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=null|number
comp_yac_epa,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
comp_yac_wpa,LEAKAGE_DO_NOT_USE,,,ALL,EPA/WP/market family (§10); js_type=null|number
complete_pass,TARGET,,,,model target (§19); js_type=null|number
cp,BENCHMARK_ONLY,,,ALL (fitted); validation only,spec §9 explicit; js_type=null|number
cpoe,BENCHMARK_ONLY,,,ALL (fitted); validation only,spec §9 explicit; js_type=null|number
def_wp,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
defensive_extra_point_attempt,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
defensive_extra_point_conv,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
defensive_two_point_attempt,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
defensive_two_point_conv,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
defteam,STATE,,ALL (pre-snap),,spec §5/§17; js_type=null|string
defteam_score,IGNORE_V1,,,,not referenced in spec V1; classify when a model needs it; js_type=null|number
defteam_score_post,LEAKAGE_DO_NOT_USE,,,ALL,spec §10 explicit; js_type=null|number
defteam_timeouts_remaining,STATE,,ALL (pre-snap),,spec §5/§17; js_type=null|number
desc,VALIDATION_ONLY,,,,attribution/debug only; js_type=string
div_game,STATE,,ALL (pre-snap),,spec §5/§17; js_type=number
down,STATE,,ALL (pre-snap),,spec §5/§17; js_type=null|number
